,Title,Author,Call_Number,Year,Type
0," Tratados astronómicos, geográficos y de otras materias [Manuscrito]","Noronha, Constantino de Sá 1586-1630",MSS.MICRO/18995,1601,Manuscripts and Personal Archives
1, Sumario de la milicia antigua y moderna con la orden de hacer un ejército de naciones y marchar con él ... [Manuscrito],"Rojas, Cristóbal de m. 1614",MSS/9315,1607,Manuscripts and Personal Archives
2, Sumario de la milicia antigua y moderna con la orden de hacer un ejército de naciones y marchar con él ... [Manuscrito],"Rojas, Cristóbal de m. 1614",MSS.MICRO/3627,1607,Manuscripts and Personal Archives
3," Opusculos del Marques de Buscayolo, de los señores, y principes soberanos de la ciudad, e isla de Xio, cavallero de la Orden de Calatrava, y superintendente de las fortificaciones de Castilla","Buscasolo, Gaspar de Squarzafigo, Marqués de",2/15384,1669,Monographs
4," Descripción del reconocimiento hecho en todos los pueblos, caminos ... y sierras de Gata, de la frontera de Extremadura con el Reino de Portugal, desde la margen derecha del río Alagón hasta su encuentro con el Tajo ... en los que se conceptúan posesiones militares y todo cuanto parece puede contribuir a la colocación de tropas, trenes, hospitales y almacenes [Manuscrito]","Benavides, Antonio n. 1776",MSS/19711/3,1701,Manuscripts and Personal Archives
5," Escuela militar de fortificacion ofensiva y defensiva, arte de fuegos, y de esquadronar ... [Texto impreso]","Casani, José",2/15083,1705,Monographs
6," Expuesto por parte de el promotor fiscal de la introduccion hechos, y demas que resultan de la Causa Criminal, que ha siguido, fulminada de Oficio de la Real Justicia de Guerra. Contra don Domingo Ferrari Ingeniero Extraordinario de los Exercitos de su Magestad","Ferrari, Domingo demandado",PORCONES/551(11),1727,Monographs
7, [Papeles relacionados con la elaboración de un camino desde Balsain hasta los Molinos],"Roncal, Fausto autor destinatario",MSS/18644/29,1738,Manuscripts and Personal Archives
8," Ordenanza, e instruccion para la enseñanza de las Mathematicas en la Real, y Militar Academia, que se ha establecido en Barcelona, y las que en adelanten se formaren, en que se declara el pie sobre que deberàn subsistir, lo que se ha de enseñar en ellas, las partes que han de concurrir en los sugetos para ser admitidos, y los premios y ascensos con que se les remunerarà à los que se distinguieren por su aplicacion",España Rey (1700-1746: Felipe V) autor,VE/464/54,1739,Monographs
9, [Sección longitudinal y transversal de una embarcación],Anónimo español s. XVIII,DIB/18/1/3555/2,1740,"Drawings, Posters, Photos"
10, [Perfil de una fortificación],"Delgado, Estanislao",3/49237 (LÁMINA 6),1743,"Drawings, Posters, Photos"
11, Perfil de una Contramina executada en Cadiz para quitar las ruinas del pie de la brecha,"Delgado, Estanislao",3/49237 (LÁMINA 5),1743,"Drawings, Posters, Photos"
12, Plano y Perfil de una Plaza de Armas del Camino cubierto fortificada,"Delgado, Estanislao",3/49237 (LÁMINA 4),1743,"Drawings, Posters, Photos"
13, Plano y Perfil en grande de una porcion de Camino cubierto,"Delgado, Estanislao",3/49237 (LÁMINA 3),1743,"Drawings, Posters, Photos"
14, Plano de una porcion de Camino,"Delgado, Estanislao",3/49237 (LÁMINA 2),1743,"Drawings, Posters, Photos"
15, Plano y perfil de una Lengua de Sierpe,"Delgado, Estanislao",3/49237 (LÁMINA 1),1743,"Drawings, Posters, Photos"
16, Tratado de la defensa de las plazas [Texto impreso],"Vauban, Sébastien Le Prestre marquis de  1633-1707",2/26514,1743,Monographs
17, [Apunte de unos carros] [Material gráfico],"Rodríguez, Ventura 1717-1785",DIB/14/27/54,1751,"Drawings, Posters, Photos"
18," Ciencia de militares [Texto impreso] : que contiene unos breves principios de geometría, para la ... inteligencia de la fortificacion ; un utilissimo tratado de este arte","Centurión Guerrero de Torres, Manuel",2/22027,1757,Monographs
19, Almería (Departamento marítimo) Bosques 1759,"Espelius, José",MR/42/366,1759,Maps
20, [Alegoría de la ingeniería] [Material gráfico],"Cruz Cano y Olmedilla, Juan de la 1734-1790",E/251,1760,"Drawings, Posters, Photos"
21, Sanlúcar de Barrameda (Cádiz) (Departamento marítimo) Bosques 1760,"Espelius, José",MR/42/348,1760,Maps
22, Sevilla (Departamento marítimo) Bosques 1754,"Espelius, José",MR/42/367,1761,Maps
23, Cádiz (Departamento marítimo) Bosques 1765,"Espelius, José",MR/43/36,1765,Maps
24," Advertencias para la medida, y calculo de los desmontes o excavaciones, en terrenos irregulares [Texto impreso] : con una regla general para todos ellos, demostrada y autorizada por la theoría del centro de gravedad particular de cada cuerpo","Lucuce, Pedro de 1692-1779",2/17921,1766,Monographs
25, Ordenanzas de S.M. para el servicio del cuerpo de ingenieros en guarnicion y campañah[Texto impreso] : tomo quarto : subdividido en tres tratados,España Rey (1759-1788: Carlos III),2/39486(1),1768,Monographs
26, Tratado de fortificacion ó Arte de construir los edificios militares y civiles [Texto impreso],"Muller, John",2/15116,1769,Monographs
27, Real Ordenanza de S.M. para el establecimiento del Cuerpo de Ingenieros de Marina : año de 1770,España Rey (1759-1788: Carlos III),VE/350/36,1770,Monographs
28," Bomba hydraulica : instrumento facil, que para elevar aguas ha discurrido","Zúñiga y Ontiveros, Felipe de fl. 1764-1793",VE/336/4,1770,Monographs
29, Ordenanzas de S.M. para el servicio del cuerpo de ingenieros en guarnicion y campañah[Texto impreso] : tomo quarto : subdividido en tres tratados,España Rey (1759-1788: Carlos III),6/4421,1771,Monographs
30," Arte de la guerra, ó Maximas é instrucciones del arte militar [Texto impreso]","Quincy, Charles Sevin, marquis de 1666-1736",2/26679,1772,Monographs
